"id","geom","location id","address","city","county","state","zip","coverage a","coverage b","coverage c","tiv","latitude","longitude","geom_5070","hits","hits_c"
2468,"0101000020E6100000FCA5457D92D15DC0AD84EE9238BF4140",2468,"273 LORI LN","SHAFTER","Kern","CA",93263,595000,37616,17453,650069,35.493914,-119.274566,"0101000020CE1300007073ADAF1B9F3FC1C076C70401FB3841",0,0
82,"0101000020E6100000D0B359F5B92A5DC0D68BA19C68C74040",82,"56715 Cain Rd","Anza","Riverside","CA",92539,3923788,44475,87566,4055829,33.55788,-116.6676,"0101000020CE130000706C00C51EDA3CC105AC69F062EF3441",1698,1566
1580,"0101000020E6100000D40E7F4DD63E5EC0622D3E05C0E04140",1580,"8051 Ready Rd","Bradley","Monterey","CA",93426,1493139,9980,40249,1543368,35.75586,-120.98183,"0101000020CE130000C4BC7568F1E240C121860D0344003A41",198,198
1797,"0101000020E6100000B35E0CE544695DC0F2CD3637A6BB4040",1797,"93 Marbella","San Clemente","Orange","CA",92673,486433,0,76769,563202,33.46601,-117.64483,"0101000020CE1300000FF320537D3A3EC1D6B0EA150F163541",156,153
3265,"0101000020E61000007C2B1213D4595EC0E1B4E0455F3F4340",3265,"7215 KARA DR","SACRAMENTO","Sacramento","CA",95828,674000,28470,85962,788432,38.495095,-121.403569,"0101000020CE130000A857492DDA8B40C14875C01844AB3E41",0,0
3783,"0101000020E610000010AFEB17EC515DC0124DA088456A4040",3783,"230 BONAIR ST","La Jolla","San Diego","CA",92037,447113,10514,88323,545950,32.830247,-117.280035,"0101000020CE13000060717BF3D4F73DC1E1A081604DEA3341",0,0
5312,"0101000020E610000005C078060D915EC068AED3484B254340",5312,"1119 Wyatt Ave","Napa","Napa","CA",94559,291677,5459,28542,325678,38.29136,-122.26642,"0101000020CE130000A38BAF03472441C181B96024A4A33E41",0,0
3870,"0101000020E6100000F4C308E1D14C5DC0F2CEA10C55974040",3870,"1565 LONE OAK RD","Vista","San Diego","CA",92084,778000,28093,91087,897180,33.182283,-117.20031,"0101000020CE130000DDD988979DB93DC151793F7E8B793441",0,0
1568,"0101000020E6100000D7868A71FE785DC09947FE60E0CD4040",1568,"348 Onyx","Newport Beach","Orange","CA",92662,1335181,36918,21231,1393330,33.60841,-117.89053,"0101000020CE1300002377230A99823EC16C49EAFAA9663541",0,0
2768,"0101000020E61000008065A54929D45DC01F9DBAF2598A4240",2768,"41242 Windwood Ln","Shaver Lake","Fresno","CA",93664,543000,0,53391,596391,37.08087,-119.31502,"0101000020CE13000018B3F5E242043FC1810FB496F79F3B41",174,174
2862,"0101000020E61000007B698A00A7A35EC003232F6B62FD4240",2862,"10 KNOLL RD","SAN ANSELMO","Marin","CA",94960,700000,8551,46036,754587,37.979566,-122.557068,"0101000020CE1300009FD5B11F666641C17BE9F12F693B3E41",0,0
3366,"0101000020E6100000EC32FCA71B4F5EC029CC7B9C69664340",3366,"4237 ANTELOPE CT","ROCKLIN","Placer","CA",95677,415000,0,24330,439330,38.800098,-121.236063,"0101000020CE130000BDEF9E7A0F5F40C1FDCC94143E1D3F41",0,0
5020,"0101000020E6100000BBD573D2FB905EC0E0A128D0272A4340",5020,"1030 Ross Cir","Napa","Napa","CA",94558,3123443,12260,42530,3178233,38.32934,-122.26537,"0101000020CE1300004D895E6FD62141C1A419A0CB8AB33E41",0,0
5216,"0101000020E6100000A3E9EC64706A5EC0E50AEF7211574240",5216,"238 W Market St","Salinas","Monterey","CA",93901,1571317,43894,89444,1704655,36.68022,-121.66311,"0101000020CE13000003063F420D2041C1FD6DD7CBD1C43B41",0,0
7039,"0101000020E610000018EC866D8B2A5DC04FE960FD9FBF4040",7039,"57220 Bailey Rd","Anza","Riverside","CA",92539,913465,24341,0,937806,33.49707,-116.66476,"0101000020CE1300000144204AD8DE3CC141B82BA142D53441",3621,3243
469,"0101000020E610000006F52D73BAA65CC05ED72FD80D6B4140",469,"405 D St","Needles","San Bernardino","CA",92363,1302687,29745,93033,1425465,34.83636,-114.60513,"0101000020CE130000D11CAAAE6B9639C1DAE63A07907A3641",0,0
1410,"0101000020E6100000AB2688BA0F545EC07D96E7C1DD354240",1410,"1870 Palm Ave","Soledad","Monterey","CA",93960,1037627,0,78789,1116416,36.42083,-121.31346,"0101000020CE1300001A778E6FB0F440C1F28E9B3445373B41",0,0
3117,"0101000020E6100000BC9179E40F805DC046B1DCD26AD44040",3117,"305 5th","Huntington Beach","Orange","CA",92648,298000,0,86485,384485,33.65951,-118.00097,"0101000020CE130000AB90A2B02EA43EC1FFC92C3877853541",0,0
4390,"0101000020E61000002FA3586E69CF5DC099F04BFDBC394140",4390,"525 E Oak St","Ojai","Ventura","CA",93023,569325,33914,24879,628118,34.45108,-119.24081,"0101000020CE13000016D5ACDEF90040C1B2F29DA3EF3D3741",162,156
4611,"0101000020E6100000982F2FC03EAA5EC0AA0EB9196E3C4340",4611,"409 Korbel Pl","Santa Rosa","Sonoma","CA",95409,3790606,4434,40764,3835804,38.47211,-122.66008,"0101000020CE130000A886BA5D5E5941C12F5416B94E143F41",0,0
6577,"0101000020E6100000111E6D1CB1CA5EC0C6504EB4AB944340",6577,"2290 Appolinaris Dr","Ukiah","Mendocino","CA",95482,645474,0,57940,703414,39.16149,-123.16706,"0101000020CE1300000919F5DAFA8041C1E4C1B07DDB324041",177,174
6833,"0101000020E6100000FA7E6ABC746B5DC0C6DCB5847C104140",6833,"1509 18th","Upland","San Bernardino","CA",91784,534145,26852,82362,643359,34.1288,-117.679,"0101000020CE1300000A52FEA013053EC10E74D5E89D323641",0,0
7654,"0101000020E610000099620E828ECD5DC059164CFC51184140",7654,"3131 NET CT","Oxnard","Ventura","CA",93035,455000,0,24638,479638,34.190002,-119.211823,"0101000020CE1300005B01A33BC10940C1FFBDD27CCDCC3641",0,0
413,"0101000020E610000051BD35B055B85DC08D45D3D9C9244140",413,"172 Everett St","Moorpark","Ventura","CA",93021,3509542,46885,43094,3599521,34.28741,-118.88023,"0101000020CE130000A24A40915A963FC1DA12813FA9D93641",36,33
