company,status,address,city,county,state,zip,tiv,latitude,longitude,model_type,loss_type,overall_risk_class,severity_class,frequency_class,distance_to_high_hazard,customer_zone
1,active,273 LORI LN,SHAFTER,Kern,CA,93263,650069,35.493914,-119.274566,bad,fire,extreme,extreme,high,10,29
2,active,56715 Cain Rd,Anza,Riverside,CA,92539,4055829,33.55788,-116.6676,good,wind,extreme,extreme,minimal,8,68
3,active,8051 Ready Rd,Bradley,Monterey,CA,93426,1543368,35.75586,-120.98183,good,smoke,medium,low,low,20,147
1,active,93 Marbella,San Clemente,Orange,CA,92673,563202,33.46601,-117.64483,good,wind,extreme,medium,low,19,31
2,active,7215 KARA DR,SACRAMENTO,Sacramento,CA,95828,788432,38.495095,-121.403569,ugly,fire,medium,low,low,6,75
3,active,230 BONAIR ST,La Jolla,San Diego,CA,92037,545950,32.830247,-117.280035,good,fire,medium,minimal,extreme,17,127
1,active,1119 Wyatt Ave,Napa,Napa,CA,94559,325678,38.29136,-122.26642,good,smoke,minimal,medium,low,26,48
2,active,1565 LONE OAK RD,Vista,San Diego,CA,92084,897180,33.182283,-117.20031,bad,smoke,extreme,minimal,low,46,48
3,active,348 Onyx,Newport Beach,Orange,CA,92662,1393330,33.60841,-117.89053,good,wind,low,high,low,14,2
1,active,41242 Windwood Ln,Shaver Lake,Fresno,CA,93664,596391,37.08087,-119.31502,good,smoke,extreme,high,low,2,2
2,active,10 KNOLL RD,SAN ANSELMO,Marin,CA,94960,754587,37.979566,-122.557068,ugly,fire,medium,medium,low,17,4
3,active,4237 ANTELOPE CT,ROCKLIN,Placer,CA,95677,439330,38.800098,-121.236063,bad,smoke,low,low,low,33,47
1,active,1030 Ross Cir,Napa,Napa,CA,94558,3178233,38.32934,-122.26537,good,fire,minimal,medium,minimal,12,6
2,active,238 W Market St,Salinas,Monterey,CA,93901,1704655,36.68022,-121.66311,bad,fire,medium,minimal,extreme,17,8
3,active,57220 Bailey Rd,Anza,Riverside,CA,92539,937806,33.49707,-116.66476,ugly,wind,high,medium,extreme,17,28
1,active,405 D St,Needles,San Bernardino,CA,92363,1425465,34.83636,-114.60513,bad,wind,low,high,medium,0,47
2,active,1870 Palm Ave,Soledad,Monterey,CA,93960,1116416,36.42083,-121.31346,ugly,smoke,medium,medium,medium,27,39
3,active,305 5th,Huntington Beach,Orange,CA,92648,384485,33.65951,-118.00097,ugly,wind,high,low,medium,41,18
1,active,525 E Oak St,Ojai,Ventura,CA,93023,628118,34.45108,-119.24081,ugly,fire,low,high,minimal,9,22
2,active,409 Korbel Pl,Santa Rosa,Sonoma,CA,95409,3835804,38.47211,-122.66008,bad,wind,high,medium,low,2,42
3,active,2290 Appolinaris Dr,Ukiah,Mendocino,CA,95482,703414,39.16149,-123.16706,ugly,fire,extreme,extreme,low,38,1
1,active,1509 18th,Upland,San Bernardino,CA,91784,643359,34.1288,-117.679,bad,fire,extreme,medium,medium,26,16
2,active,3131 NET CT,Oxnard,Ventura,CA,93035,479638,34.190002,-119.211823,ugly,wind,high,extreme,high,46,35
3,active,172 Everett St,Moorpark,Ventura,CA,93021,3599521,34.28741,-118.88023,ugly,fire,low,high,minimal,43,40
1,active,1102 CYPRESS AV,WASCO,Kern,CA,93280,728251,35.589589,-119.347866,bad,wind,extreme,extreme,minimal,37,25
2,active,3016 PUEBLO ST,Carlsbad,San Diego,CA,92009,565957,33.08901,-117.242877,bad,wind,medium,high,medium,17,4
3,active,26208 Scenic Rd,Carmel,Monterey,CA,93923,1784061,36.54353,-121.93333,bad,wind,medium,minimal,extreme,9,7
1,active,5214 Hall Rd,Santa Rosa,Sonoma,CA,95401,1955740,38.43791,-122.80152,good,fire,minimal,medium,medium,15,31
2,active,422 N Olive St,Anaheim,Orange,CA,92805,770903,33.84056,-117.91128,bad,wind,extreme,extreme,minimal,43,16
3,active,145 Roache Rd,Freedom,Santa Cruz,CA,95019,887263,36.93494,-121.78013,bad,smoke,low,low,medium,1,8
1,active,189 Canyon Road,Fairfax,Marin,CA,94930,2783903,37.97675,-122.61319,good,fire,low,high,high,35,4
2,active,211 Lucard St,Taft,Kern,CA,93268,303741,35.14212,-119.45404,ugly,smoke,high,high,medium,14,21
3,active,634 Maple St,La Habra,Orange,CA,90631,372484,33.93693,-117.93918,ugly,wind,extreme,minimal,extreme,3,44
1,active,2259 Savona St,Los Banos,Merced,CA,93635,939166,37.06677,-120.81917,good,wind,extreme,medium,minimal,6,35
2,active,328 Warren St,Taft,Kern,CA,93268,691532,35.14604,-119.45467,bad,fire,minimal,minimal,medium,1,32
3,active,7107 SEASONS DR,ELK GROVE,Sacramento,CA,95758,363311,38.419869,-121.420634,bad,smoke,low,minimal,medium,37,32
1,active,10158 15th,Garden Grove,Orange,CA,92843,727000,33.75773,-117.95272,good,wind,high,high,high,20,23
2,active,1244 Deckside Dr,Oxnard,Ventura,CA,93035,821782,34.18869,-119.2174,good,fire,low,low,extreme,21,42
3,active,24533 Outlook Dr,Carmel,Monterey,CA,93923,3699593,36.56623,-121.90639,bad,smoke,medium,minimal,medium,15,5
1,active,51 Shreve Dr,Laguna Beach,Orange,CA,92651,1230238,33.51525,-117.75788,good,wind,extreme,medium,minimal,47,2
2,active,241 MURRAY AVENUE,AZUSA,Los Angeles,CA,91702,549687,34.118222,-117.900784,bad,wind,high,extreme,extreme,31,47
3,active,164 13th,Santa Cruz,Santa Cruz,CA,95062,532934,36.96155,-121.99454,good,smoke,low,extreme,low,7,40
1,active,147 9th,Escondido,San Diego,CA,92025,907747,33.11492,-117.07548,ugly,smoke,low,minimal,medium,2,2
2,active,2175 Penny Ln,Napa,Napa,CA,94559,500000,38.28069,-122.25547,ugly,fire,medium,high,medium,38,33
3,active,55 Canyon Crk,Irvine,Orange,CA,92603,628537,33.63966,-117.78663,bad,fire,low,low,medium,16,13
1,active,20166 E Arrow Hwy,Covina,Los Angeles,CA,91724,1968464,34.10661,-117.86025,ugly,wind,medium,high,medium,42,9
2,active,9815 Haninger Way,Villa Park,Orange,CA,92861,311911,33.81984,-117.81614,bad,wind,extreme,low,minimal,37,11
3,active,382 Pinecrest Dr,Laguna Beach,Orange,CA,92651,1528024,33.54955,-117.79577,bad,smoke,extreme,low,high,8,20
1,active,19 Bret Ave,San Rafael,Marin,CA,94901,850793,37.96224,-122.51861,ugly,wind,extreme,low,medium,4,8
2,active,919 Ina Dr,Alamo,Contra Costa,CA,94507,3852213,37.85896,-122.02187,ugly,smoke,extreme,extreme,medium,5,24
3,active,55 Timor Sea,Newport Coast,Orange,CA,92657,111460,33.57544,-117.83505,good,wind,high,extreme,medium,28,16
1,active,9 Clemson St,Rancho Mirage,Riverside,CA,92270,3523788,33.77004,-116.42064,ugly,wind,extreme,high,high,47,29
2,active,18027 E Fondale St,Azusa,Los Angeles,CA,91702,2474412,34.11789,-117.89907,ugly,fire,extreme,high,minimal,42,32
3,active,355 Franklin St,San Mateo,San Mateo,CA,94402,3814025,37.55864,-122.3314,bad,fire,extreme,minimal,minimal,48,35
1,active,512 Monroe St,Taft,Kern,CA,93268,717443,35.15857,-119.45217,good,smoke,minimal,extreme,medium,25,50
2,active,358 W Oak View Ave,Oak View,Ventura,CA,93022,479528,34.39718,-119.30318,ugly,wind,medium,medium,high,6,29
3,active,4674 HEYER AV,CASTRO VALLEY,Alameda,CA,94546,882815,37.704235,-122.063013,ugly,wind,medium,medium,medium,47,8
1,active,3345 118th,Inglewood,Los Angeles,CA,90303,98886,33.92689,-118.33063,bad,fire,minimal,minimal,low,12,43
2,active,208 CANDICE PL,Vista,San Diego,CA,92083,488129,33.225362,-117.247324,ugly,smoke,low,high,high,45,3
3,active,17528 High Rd,Sonoma,Sonoma,CA,95476,1756015,38.32206,-122.45522,good,wind,extreme,high,medium,49,23
1,active,1081 Via Alta,Lafayette,Contra Costa,CA,94549,167002,37.89589,-122.13737,good,wind,low,minimal,extreme,20,49
2,active,321 G St,San Rafael,Marin,CA,94901,480986,37.97602,-122.53684,ugly,wind,high,extreme,extreme,25,33
3,active,8 Harbor Island,Newport Beach,Orange,CA,92660,269822,33.61053,-117.89988,good,smoke,minimal,high,high,21,39
1,active,310 Palm Ave,Kentfield,Marin,CA,94904,967952,37.95802,-122.54019,good,wind,low,minimal,extreme,26,41
2,active,684 S M St,Livermore,Alameda,CA,94550,784794,37.67606,-121.77038,bad,wind,high,extreme,medium,10,33
3,active,484 N SHIRLEY AVE,FRESNO,Fresno,CA,93727,352246,36.750116,-119.682855,good,smoke,high,minimal,high,18,5
1,active,2617 WOODLAND DR,PINE MTN CLUB,Kern,CA,93225,941015,34.853532,-119.160183,ugly,fire,high,medium,minimal,12,4
2,active,451 N SAGE AVE,RIALTO,San Bernardino,CA,92376,765086,34.10851,-117.364016,bad,fire,low,medium,low,42,44
3,active,1212 Thompson Ave,Napa,Napa,CA,94558,154669,38.29658,-122.32419,ugly,fire,medium,minimal,medium,37,15
1,active,167 S Main St,Orange,Orange,CA,92868,538394,33.78678,-117.86645,good,smoke,extreme,extreme,medium,12,35
2,active,932 8th,Manhattan Beach,Los Angeles,CA,90266,901861,33.88377,-118.39926,good,wind,high,extreme,extreme,1,10
3,active,3476 Briarvale St,Corona,Riverside,CA,92879,959067,33.87629,-117.51249,bad,wind,extreme,minimal,medium,41,30
1,active,9553 Chocolate Dr,El Cajon,San Diego,CA,92021,574768,32.85773,-116.81718,good,wind,high,medium,extreme,11,45
2,active,13871 Melody Rd,Jamul,San Diego,CA,91935,561917,32.70669,-116.87593,good,wind,high,low,medium,16,32
3,active,127 S D St,Oxnard,Ventura,CA,93030,1457541,34.20263,-119.18231,bad,fire,medium,medium,extreme,13,19
1,active,265 LORI LN,SHAFTER,Kern,CA,93263,119563,35.493914,-119.274768,good,smoke,low,medium,medium,49,49
2,active,1950 MEYERS RD,DEVORE,San Bernardino,CA,92407,906872,34.217455,-117.373888,good,fire,high,minimal,medium,35,1
3,active,4568 Frost Dr,Oxnard,Ventura,CA,93033,495494,34.15876,-119.16873,ugly,smoke,minimal,high,high,8,33
1,active,33693 Halyard Dr,Dana Point,Orange,CA,92629,598177,33.47407,-117.70914,bad,fire,medium,medium,extreme,6,6
2,active,23 Hill Rd,Novato,Marin,CA,94945,585583,38.09595,-122.56527,bad,smoke,medium,low,high,3,41
3,active,23538 Belmont Cir,Salinas,Monterey,CA,93908,344833,36.58514,-121.62746,bad,wind,extreme,extreme,medium,37,10
1,active,1556 Bromm Dr,Shasta,Redding,CA,96001,500000,40.58284,-122.39305,bad,fire,extreme,low,medium,14,34
2,active,3754 38th,Oakland,Alameda,CA,94619,437979,37.79159,-122.19573,good,wind,high,low,minimal,9,35
3,active,20425 Kent Way,Los Gatos,Santa Cruz,CA,95033,103874,37.17273,-121.99474,bad,fire,low,minimal,low,7,47
1,active,5151 Kesling St,San Diego,San Diego,CA,92117,97119,32.83357,-117.18025,ugly,wind,minimal,medium,minimal,30,1
2,active,4805 NEBLINA DR,Carlsbad,San Diego,CA,92008,471600,33.147407,-117.316797,ugly,wind,minimal,minimal,low,26,11
3,active,4369 Elk Dr,Antioch,Contra Costa,CA,94509,801956,37.97043,-121.78039,bad,smoke,medium,high,high,28,10
1,active,4912 Kilburn Ct,Oak Park,Ventura,CA,91377,940660,34.19039,-118.78385,bad,smoke,low,high,high,22,41
2,active,160 1st,Solvang,Santa Barbara,CA,93463,526333,34.58867,-120.14367,ugly,fire,high,medium,medium,46,9
3,active,978 4th,Novato,Marin,CA,94945,788749,38.10796,-122.57444,good,wind,high,extreme,minimal,48,27
1,active,1700 King Ave,Napa,Napa,CA,94559,500000,38.31023,-122.27083,bad,smoke,extreme,minimal,medium,17,9
2,active,61 2nd,Sonoma,Sonoma,CA,95476,580628,38.29902,-122.45325,ugly,smoke,extreme,minimal,low,44,41
3,active,317 SUDAN AV,BUTTONWILLOW,Kern,CA,93206,650254,35.40232,-119.464348,good,fire,medium,high,low,29,22
1,active,29 16th,San Mateo,San Mateo,CA,94402,961469,37.5538,-122.31453,good,wind,medium,low,high,14,10
2,active,92 7th,San Jose,Santa Clara,CA,95113,454165,37.33484,-121.88963,bad,wind,minimal,low,minimal,8,41
3,active,755 Anns Way,Vista,San Diego,CA,92083,653592,33.20243,-117.26266,bad,wind,extreme,high,minimal,44,6
1,active,817 San Luis Rd,Berkeley,Alameda,CA,94707,436799,37.89495,-122.27138,bad,wind,high,medium,medium,18,26
2,active,1169 CANTON AV,LIVERMORE,Alameda,CA,94550,690845,37.66856,-121.778273,ugly,smoke,extreme,minimal,minimal,46,42
3,active,50 MESA RD,BOLINAS,Marin,CA,94924,994338,37.913021,-122.693481,bad,wind,extreme,high,extreme,33,3
1,active,4874 PARK DR,Carlsbad,San Diego,CA,92008,843686,33.143654,-117.313271,good,wind,extreme,extreme,minimal,26,8
2,active,1226 Darms Ln,Napa,Napa,CA,94558,372734,38.36328,-122.34438,bad,fire,minimal,medium,extreme,36,5
3,active,36768 Hwy 1,Carmel,Monterey,CA,93923,136314,36.40251,-121.90844,good,wind,low,high,high,16,48
1,active,936 Regency St,Perris,Riverside,CA,92571,873382,33.8416,-117.20572,bad,smoke,medium,minimal,high,22,37
2,active,1218 POST ST,ALAMEDA,Alameda,CA,94501,399003,37.75496,-122.234043,ugly,wind,medium,extreme,medium,22,37
3,active,7118 BENJIE WY,BAKERSFIELD,Kern,CA,93313,98463,35.063471,-118.971523,ugly,smoke,minimal,extreme,extreme,26,17
